oare_id,sentence_uuid,transliteration,transliteration_with_annotations,translation
0126cd13-acf7-4cd5-8373-f1e7b54d824e,3c802057-8285-48ac-a03d-128b8814bdc7,il₅-pu-ut um-ma ša-lim-a-šur-ma a-šar ÌR a-na ÌR-dí-kà lá i-tù-ru-ú ma-a a-na ÌR-dí-a,"il₅-pu-ut {to touch, take hold of} um-ma ša-lim-a-šur-ma a-šar ÌR {slave, servant; slavery, status as slave, vassalage, (political) servitude} a-na ÌR-dí-kà {slave, servant; slavery, status as slave, vassalage, (political) servitude} lá {to be(come) little} i-tù-ru-ú {to turn, return; become (again)} ma-a a-na ÌR-dí-a {slave, servant; slavery, status as slave, vassalage, (political) servitude}","and Šalim-Aššur said: In case the slave does not raise claim against your slave, then, will he raise claims against my slave?"
0126cd13-acf7-4cd5-8373-f1e7b54d824e,c50579da-b049-4abd-85d3-3a8de38dd0c9,i-tù-wa-ar um-ma šu-be-lúm-ma šu-ma a-na ku-a-im i-tù-a-ar a-na TÚG.ḪI.A ù ANŠE.ḪI.A,"i-tù-wa-ar {to turn, return; become (again)} um-ma šu-be-lúm-ma šu-ma a-na ku-a-im {your; yours} i-tù-a-ar {to turn, return; become (again)} a-na TÚG.ḪI.A {textile, garment, textile, cloth, garment, clothing, cortex} ù ANŠE.ḪI.A {flood dragon; donkey, donkey driver, donkey}","Šu-Bēlum answered: If he raises claim against yours, then I guarantee for the textiles and the donkey for you."
0126cd13-acf7-4cd5-8373-f1e7b54d824e,fefbb120-cf19-4c0f-a26d-8186b8f8fa53,a-za-za-kum a-na a-wa-tim a-ni-a-tim kà-ru-um kà-ni-iš i-dí-ni-a-tí-ma IGI GÍR ša a-šùr ší-bu-tí-ni,"a-za-za-kum {to stand} a-na a-wa-tim {word; matter} a-ni-a-tim {this, those, this matter, one way or another, various, some ..., others ..., thus, in the same way} kà-ru-um kà-ni-iš i-dí-ni-a-tí-ma {Ass. base for} IGI GÍR {sword, dagger, dagger (worn in) belt, knife; released, unhitched, loosed, enfeebled} ša a-šùr ší-bu-tí-ni {[(NAM.)AB.BA; ŠU.GI- ; NB LÚ.AB.BA.MEŠ]}","The Kanesh colony gave us for these proceedings, and we gave our testimony before Aššur’s dagger."
0126cd13-acf7-4cd5-8373-f1e7b54d824e,1c49643b-ed5f-42ca-9938-2fa0ee07e207,ni-dí-in IGI ú-ra-a IGI ì-lí-dan IGI ma-ni-um-ba-lúm-a-šùr,ni-dí-in {Ass. base for} IGI ú-ra-a IGI ì-lí-dan IGI ma-ni-um-ba-lúm-a-šùr,"Witnessed by Uraya, by Ilī-dan, by Man-num-balum-Aššur."
01cc1406-fc42-4252-aeae-6b4538b069c5,7d975a6f-5766-4bc6-97b5-3653645aae42,GÍN KÙ.BABBAR ší-im e-ma-ri-im 30 ma-na URUDU IŠTAR-pí-lá-aḫ a-na ar-be-e-šu <gap> ù-kà-pu-ú ša-pì-ú-tim 9 ma-na URUDU SIG₅ i ší-im sú-ub-ri-im 1 ma-na URUDU ší-kam iš-tí DUMU IŠTAR-ba-ni 2 kà-ar-pát kà-mu-nu mì-ma a-nim i-na du-ur-ḫu-mì-it i-ba-ší 10,"GÍN {shekel} KÙ.BABBAR {silver, price; money} ší-im e-ma-ri-im {flood dragon; donkey, donkey driver, donkey} 30 ma-na {mina (c. 480 grams), (standard) mina of PlN/the king, a mina-weight, small mina (= 1/3 shekel); to count, calculate; recite; to love} URUDU IŠTAR-pí-lá-aḫ a-na ar-be-e-šu <gap> ù-kà-pu-ú {pack-saddle} ša-pì-ú-tim {felt-worker; soaked, dyed} 9 ma-na {mina (c. 480 grams), (standard) mina of PlN/the king, a mina-weight, small mina (= 1/3 shekel); to count, calculate; recite; to love} URUDU SIG₅ {good} i ší-im sú-ub-ri-im {slave; from Subartu, in the style of Subartu; (a wood) OAkk, Mari [GIŠ.ŠUBUR]} 1 ma-na {mina (c. 480 grams), (standard) mina of PlN/the king, a mina-weight, small mina (= 1/3 shekel); to count, calculate; recite; to love} URUDU ší-kam iš-tí DUMU {son, descendant; boy; status of son, to disinherit, status of adopted son (or daughter), to adopt, to put up for adoption} IŠTAR-ba-ni 2 kà-ar-pát kà-mu-nu {cumin} mì-ma {anything, something; everything, all; everything, all} a-nim {this, those, this matter, one way or another, various, some ..., others ..., thus, in the same way} i-na du-ur-ḫu-mì-it i-ba-ší 10","17 shekels of silver, the price of a donkey, 30 minas of copper of Ištar-pilah, 4 sets of thick saddleclothes, 9 minas of refned copper from the price of a slave, 1 mina of šikku-copper with the son of Ištar-bāni, 2 jars of cumin-all this is available in Durhumit."
01cc1406-fc42-4252-aeae-6b4538b069c5,2c38ea36-f185-4377-b4d8-fd06bd94fe94,pí-ri-kà-nu 1 GÚ SÍG.ḪI.A 2 ú-kà-pé-e 80 lu-ur-ma-tum 10 ma-na Ì.GIŠ sà-ar-dam sà-áp-tí-nam ni-ib-ra-ra-am 2 ší-it-re-e ša za-al-pá 2 e-ma-re ú ù-nu-sú-nu mì-ma a-nim a-na a-šùr-i-mì-tí a-dí-in,"pí-ri-kà-nu 1 GÚ SÍG.ḪI.A 2 ú-kà-pé-e {pack-saddle} 80 lu-ur-ma-tum 10 ma-na {mina (c. 480 grams), (standard) mina of PlN/the king, a mina-weight, small mina (= 1/3 shekel); to count, calculate; recite; to love} Ì.GIŠ sà-ar-dam {packed, loaded} sà-áp-tí-nam {(or *saptinnum*) (a fine textile) OA} ni-ib-ra-ra-am {(or *niprārum*) (a textile) OA} 2 ší-it-re-e {\~ (a textile) OA; mng. unkn. M/jB **Gt**; very proud, splendid; (piece of) writing, inscription, written name, stars, performance of *š.* song} ša za-al-pá 2 e-ma-re {flood dragon; donkey, donkey driver, donkey} ú ù-nu-sú-nu {tools, equipment, household utensils, internal organs} mì-ma {anything, something; everything, all; everything, all} a-nim {this, those, this matter, one way or another, various, some ..., others ..., thus, in the same way} a-na a-šùr-i-mì-tí a-dí-in {Ass. base for}","10 pirikannu-textiles, 1 talent of wool, 2 saddle-rugs, 80 pomegranates, 10 minas of olive oil, a saptinnu-and a nibrāru-textile, 2 scarfs from Zalpa, 2 donkeys with their harness-all this I gave to Aššur-imittī."
020aa8bd-69a4-43a9-8120-efd9e587bb1c,d4e4b8f2-1fe6-4ca9-a3f2-71e3196d5aed,,,"Witnesses: Aššur-idī, Elāli; Puzur-ilī son of Balzuenum was our (absent) partner."
02f0ecc7-746b-449d-803c-c05ebbda2336,dd84ad3a-266b-4316-bdec-94f18cffad89,kà-ru-um dí-nam i-dí-in-ma ša-lim-a-šùr ṭup-pu-šu a ší-bi-šu ma-lá KÙ.BABBAR a-na ḫu-bu-ul i-dí-a-bi-im ú-ša-qí-lu ŠU.NÍGIN KÙ.BABBAR a-na me-er-e i-dí-a-bi-im i-qá-bi um-ma šu-ut-ma KÙ.BABBAR a-nim a-ḫa-a ú-ša-qí-il₅,"kà-ru-um dí-nam {legal decision; lawsuit, trial} i-dí-in-ma {to judge} ša-lim-a-šùr ṭup-pu-šu {younger brother, second in rank; mark on skin, mole; (clay) tablet, document, letter, to write, read a tablet; very plump} a ší-bi-šu ma-lá KÙ.BABBAR {silver, price; money} a-na ḫu-bu-ul {pit, trench; debt; interest-bearing loan; interest, (interest-bearing) debt, on loan, creditor, debtor's prison} i-dí-a-bi-im ú-ša-qí-lu {to take away; to weigh, pay; balance, suspend} ŠU.NÍGIN {together, at the same time, to divide equally, altogether, in total; for the first time} KÙ.BABBAR {silver, price; money} a-na me-er-e {son, descendant; boy; status of son, to disinherit, status of adopted son (or daughter), to adopt, to put up for adoption} i-dí-a-bi-im i-qá-bi {to say, speak, command} um-ma šu-ut-ma KÙ.BABBAR {silver, price; money} a-nim {this, those, this matter, one way or another, various, some ..., others ..., thus, in the same way} a-ḫa-a ú-ša-qí-il₅ {to take away; to weigh, pay; balance, suspend}",The colony has passed a verdict stating that Šalim-Aššur must mention to the sons of Iddin-abum his tablets for his witnesses to how much silver-all the silver-he has paid to cover Iddin-Abum’s debt. He is to say:This silver I paid in different places.
03826c8c-3727-4caf-b781-1cc5f6ab56e6,de2bdbcc-f929-403c-b584-38f5434349df,ma-na KÙ.BABBAR ṣa-ru-pá-am en-um-a-šùr DUMU sú-in-na-da 5 ⅓ ma-na KÙ.BABBAR ṣa-ru-pá-am sú-in-na-da me-ra-šu il₅-qé-ú i-na ší-im <gap> IGI a-šùr-i-mì-tí IGI iš-me-DINGIR IGI bi-<gap> DUMU,"ma-na {mina (c. 480 grams), (standard) mina of PlN/the king, a mina-weight, small mina (= 1/3 shekel); to count, calculate; recite; to love} KÙ.BABBAR {silver, price; money} ṣa-ru-pá-am {(silver) refining; refined} en-um-a-šùr DUMU {son, descendant; boy; status of son, to disinherit, status of adopted son (or daughter), to adopt, to put up for adoption} sú-in-na-da 5 ⅓ ma-na {mina (c. 480 grams), (standard) mina of PlN/the king, a mina-weight, small mina (= 1/3 shekel); to count, calculate; recite; to love} KÙ.BABBAR {silver, price; money} ṣa-ru-pá-am {(silver) refining; refined} sú-in-na-da me-ra-šu {son, descendant; boy; status of son, to disinherit, status of adopted son (or daughter), to adopt, to put up for adoption} il₅-qé-ú {to suffer; to take, take over} i-na ší-im <gap> IGI a-šùr-i-mì-tí IGI iš-me-DINGIR IGI bi-<gap> DUMU {son, descendant; boy; status of son, to disinherit, status of adopted son (or daughter), to adopt, to put up for adoption}","Ennam-Aššur son of Suen-nādā has received 13 minas of refined silver, and Suen-nādā his son has received 5 ⅓ minas of refined silver from the proceeds of Ušinalam’s wool."
03826c8c-3727-4caf-b781-1cc5f6ab56e6,36eedcf0-7b5f-4a6a-9922-e52b395278ed,ḫa-na-ni-a IGI DINGIR.SIPA DUMU ša-ak-ṣí-im,"ḫa-na-ni-a IGI DINGIR.SIPA DUMU {son, descendant; boy; status of son, to disinherit, status of adopted son (or daughter), to adopt, to put up for adoption} ša-ak-ṣí-im","Witnessed by Aššur-imittī, by Išme-ilum, by Bi <gap> son of Hannāniya, by Ili-rē’ī son of Šakṣum."
03afa072-8f71-4403-b303-086f6097db3f,9cec9f4b-3f9e-4a39-b69d-4b2b35d50ce2,GÍN KÙ.BABBAR i-ṣé-er <gap>-a-šur DAM.GÀR i-šu,"GÍN {shekel} KÙ.BABBAR {silver, price; money} i-ṣé-er <gap>-a-šur DAM.GÀR {merchant, businessman; merchanthood; business, commerce} i-šu",a-šur owes the merchant 4 shekels silver.
03afa072-8f71-4403-b303-086f6097db3f,9b6e0aee-56f9-42e3-bf3b-dfd0f528006a,ITU.KAM a-lá-na-tim a-na ITU.KAM i-ša-qal,"ITU.KAM {[ITI; also ITI.1.KAM; OA ITI.KAM; NB astr. ÁB]} a-lá-na-tim {(an Ass. month name) O/MA, jB lex.} a-na ITU.KAM {[ITI; also ITI.1.KAM; OA ITI.KAM; NB astr. ÁB]} i-ša-qal {to take away; to weigh, pay; balance, suspend}",He will pay one month (from) the month of Allanātum.
03afa072-8f71-4403-b303-086f6097db3f,5bb9fe4d-6849-401b-8899-5e015512de9a,šu-ma lá iš-qúl ⅓ GÍN.TA i-na ITU.KAM ú-ṣa-áb,"šu-ma lá {to be(come) little} iš-qúl {to take away; to weigh, pay; balance, suspend} ⅓ GÍN.TA {shekel} i-na ITU.KAM {[ITI; also ITI.1.KAM; OA ITI.KAM; NB astr. ÁB]} ú-ṣa-áb {to sit (down); dwell; to add, increase}","If he does not pay, he will add (as interest) ⅓ shekel per month."
03afa072-8f71-4403-b303-086f6097db3f,08e0f8e8-942e-480a-aa95-45f534817526,li-mu-um a-šùr-na-da,"li-mu-um {eponym (of year), eponymate, in his second eponymate, office of the eponym official; environs; family, tribe; encirclement} a-šùr-na-da",Eponymate: Aššur-nādā.
03afa072-8f71-4403-b303-086f6097db3f,16c30de1-0f19-4ea0-9a30-8a1358e83559,ḫa-mu-uš-tum ša qá-té kà-ar-wa-a,"ḫa-mu-uš-tum {group of five, overseer of a group of five (merchants); a fifth} ša qá-té kà-ar-wa-a",Hamuštum: The week after Qarwāya.
03afa072-8f71-4403-b303-086f6097db3f,5e2e45fb-19b6-4820-a4ad-c00ede1164f5,IGI a-šur-i-dí,IGI a-šur-i-dí,Witnesses: Aššsur-idī
041c9029-8f6f-40f8-989b-77a75878221c,b039d571-34fa-4230-b77d-a80418506753,a-na a-lá-ḫi-im qí-bi₄-ma um-ma PUZUR₄-a-šur-ma ½ ma-na KÙ.BABBAR a-na pá-ni-a ša a-ḫu-zu-ma tù-šé-bi₄-lá-ni ½ ma-na KÙ.BABBAR ku-nu-ki-a en-na-num DUMU ku-zi-a ub-lá-ku-um a-ḫi a-ta na-áš-pè-ra-tim ša a-lim{ki} ša en-na-num ub-lá-ku-ni i-ḫi-id-ma a ba-tí-qí-im pá-ni-im-ma dí-in-ma lu-ub-lu iš-tí wa-ṣí-im pá-ni-im-ma lu-ṣí-am,"a-na a-lá-ḫi-im qí-bi₄-ma {to say, speak, command} um-ma PUZUR₄-a-šur-ma ½ ma-na {mina (c. 480 grams), (standard) mina of PlN/the king, a mina-weight, small mina (= 1/3 shekel); to count, calculate; recite; to love} KÙ.BABBAR {silver, price; money} a-na pá-ni-a ša a-ḫu-zu-ma tù-šé-bi₄-lá-ni {to carry, bring} ½ ma-na {mina (c. 480 grams), (standard) mina of PlN/the king, a mina-weight, small mina (= 1/3 shekel); to count, calculate; recite; to love} KÙ.BABBAR {silver, price; money} ku-nu-ki-a {seal} en-na-num DUMU {son, descendant; boy; status of son, to disinherit, status of adopted son (or daughter), to adopt, to put up for adoption} ku-zi-a ub-lá-ku-um {to carry, bring} a-ḫi a-ta na-áš-pè-ra-tim {(a garment) OAkk; message, commission, written message, letter, mission, embassy, instruction, assignment, to carry out an errand, fulfil a mission, to conduct business, business manager, agent, on behalf of, person under commission} ša a-lim{ki} ša en-na-num ub-lá-ku-ni {to carry, bring} i-ḫi-id-ma a ba-tí-qí-im pá-ni-im-ma {first, earlier; front} dí-in-ma {Ass. base for} lu-ub-lu {to carry, bring} iš-tí wa-ṣí-im {liter. 'going out'} pá-ni-im-ma {first, earlier; front} lu-ṣí-am",To Al-ahum from Puzur-Aššur:
0480d321-8019-4775-bb29-5ac41b659c02,3b8bc609-0686-4af3-ade3-f76caa8f92dd,a-na ku-li-a qí-bi-ma um-ma a-sá-num-ma,"a-na ku-li-a qí-bi-ma {to say, speak, command} um-ma a-sá-num-ma","To Kuliya, say, thus says Asānum:"
0480d321-8019-4775-bb29-5ac41b659c02,53cc2355-9c63-418e-a60a-69e7bd0fb1af,a-šu-mì a-ší-im sá-aḫ-ra-a-ku a-ši-a-im,a-šu-mì {because (of)} a-ší-im sá-aḫ-ra-a-ku a-ši-a-im,I am still staying (here) because of the meteoric iron.
0480d321-8019-4775-bb29-5ac41b659c02,df352b0c-d6f1-4cc0-96bd-74d5be4f00f8,i-ma-gu₅-ru a-da-šu-ma a-ta-be-a-am-ma a-ta-lá-kam,"i-ma-gu₅-ru {travel provisions on a ship; to consent, agree} a-da-šu-ma {Ass. base for} a-ta-be-a-am-ma {to sink, submerge} a-ta-lá-kam {to go}","When they agree with the (quality price of the) iron I will sell it, get ready and leave for you."
0480d321-8019-4775-bb29-5ac41b659c02,3aaa7c42-3ca7-413e-99f0-859cc2afe821,a-dí-i na-áš-pè-er-tí-kà ša a-šu-mì kà-lá-pí-im i-li-kà-ni ší-bé-e,"a-dí-i na-áš-pè-er-tí-kà {(a garment) OAkk; message, commission, written message, letter, mission, embassy, instruction, assignment, to carry out an errand, fulfil a mission, to conduct business, business manager, agent, on behalf of, person under commission} ša a-šu-mì {because (of)} kà-lá-pí-im {barber, hairdresser, member of the barbers, overseer of the barbers, razor, comb etc. of barber; function of barber, to act as barber} i-li-kà-ni {to go} ší-bé-e","As for your letter which arrived here concerning the axe, I have not yet recorded (the depositions) of the witnesses."
0480d321-8019-4775-bb29-5ac41b659c02,b1ee0f5f-5c86-46f3-b80e-2a4fd2b67aae,a-dí-ni lá aḫ-ri-im i ší-be-a a-zu kà-ṣa-ar PUZUR₄-a-mur,"a-dí-ni {hitherto, till now, so far, till now, not yet} lá {to be(come) little} aḫ-ri-im {to cover, envelop; to separate, cut off} i ší-be-a a-zu kà-ṣa-ar {packing-supervisor; function as packing-supervisor} PUZUR₄-a-mur","Among my witnesses figures Azu, the transporter of Puzur-Aššur."
0480d321-8019-4775-bb29-5ac41b659c02,3d495454-53d1-4c48-b20a-693cf6271477,be-li a-ta a-na a-na PUZUR₄-a-mur pu-nu-ma a-zu-ú li-iṭ-ru-dam iš-tí tap-pá-i-šu ší-bu-tám li-dí-nam,"be-li a-ta a-na a-na PUZUR₄-a-mur pu-nu-ma {to face; be ahead} a-zu-ú li-iṭ-ru-dam {(a tree) jB lex. = (a kind of) *šakkullu*; to send off, despatch; send away} iš-tí tap-pá-i-šu {companion, partner, friend, partner, associate, friend; companionship, partnership, to go to (s.o.'s) assistance, (commercial) partnership} ší-bu-tám {[(NAM.)AB.BA; ŠU.GI- ; NB LÚ.AB.BA.MEŠ]} li-dí-nam {Ass. base for}","Please, my lord, approach Puzur Aššur and let him send Azu to me, so that he can testify for me together with his colleagues."
0480d321-8019-4775-bb29-5ac41b659c02,b0547c54-ba0b-48fc-9a2a-3e76f7d41955,i-na lá i-da-i-a a-mì-ša-am i-tal-kam um-ma šu-ut-ma a-na e-lá-lí a-lá-ak,i-na lá {to be(come) little} i-da-i-a a-mì-ša-am i-tal-kam {to go} um-ma šu-ut-ma a-na e-lá-lí a-lá-ak {to go},Without my knowledge he has left for there saying: I am going to Elālī.
05083743-603f-48b5-a6c7-f089ed845d94,323e9f6f-df03-40e5-a1bc-e8f400e84965,a-na a-ta-ta ù kà-nu-tim qí-bi₄-ma um-ma a-na-aḫ-ì-lí-ma ½,"a-na a-ta-ta ù kà-nu-tim qí-bi₄-ma {to say, speak, command} um-ma a-na-aḫ-ì-lí-ma ½","Say to Atata and Kannūtum, thus Anah-ilī:"
05083743-603f-48b5-a6c7-f089ed845d94,e8f72a58-31a1-40c8-a57c-900f86acd492,ma-na KÙ.KI ù 1 ½ ma-na KÙ.BABBAR ša kà-nu-tim ša il₅-ba-ni ki-ma kà-nu-tim KÙ.BABBAR ip-qí-da-ni a-na-kam a-lá-bu-um ú-ni-ḫi-ma KÙ.BABBAR 1 ma-na ú-ša-ag-me-er,"ma-na {mina (c. 480 grams), (standard) mina of PlN/the king, a mina-weight, small mina (= 1/3 shekel); to count, calculate; recite; to love} KÙ.KI ù 1 ½ ma-na {mina (c. 480 grams), (standard) mina of PlN/the king, a mina-weight, small mina (= 1/3 shekel); to count, calculate; recite; to love} KÙ.BABBAR {silver, price; money} ša kà-nu-tim ša il₅-ba-ni ki-ma kà-nu-tim KÙ.BABBAR {silver, price; money} ip-qí-da-ni {to entrust; care for; appoint} a-na-kam {here, to/as far as/from here} a-lá-bu-um ú-ni-ḫi-ma KÙ.BABBAR {silver, price; money} 1 ma-na {mina (c. 480 grams), (standard) mina of PlN/the king, a mina-weight, small mina (= 1/3 shekel); to count, calculate; recite; to love} ú-ša-ag-me-er","(As for the) ½ mina of gold and 1 ½ mina of silver, belonging to Kannūtum, which silver Ilī-bāni, representing Kannūtum, entrusted to me-here Ali-abum has troubled me and caused expenses of 1 mina of silver."
05083743-603f-48b5-a6c7-f089ed845d94,b7dfe290-9e77-4784-ba1f-1dff051a2358,a-na a-lim{ki} im-ta-ša-ra-ni-ma i-na dí-in a-lim{ki} KÙ.BABBAR ú KÙ.KI a-lá-bu-um i-lá-qé-ma a-na a-wa-at kà-nu-tim lá-bu-um i-za-az,"a-na a-lim{ki} im-ta-ša-ra-ni-ma i-na dí-in {legal decision; lawsuit, trial} a-lim{ki} KÙ.BABBAR {silver, price; money} ú KÙ.KI a-lá-bu-um i-lá-qé-ma {to suffer; to take, take over} a-na a-wa-at {word; matter} kà-nu-tim lá-bu-um i-za-az {to stand}",He has now dragged me before the City and by verdict of the City Ali-abum willl take that silver and gold and Ali-abum will be responsible for Kannūtum’s interests.
